iter	Passed	Remaining
419	3397	647
420	3405	638
421	3413	630
422	3421	622
423	3428	614
424	3436	606
425	3443	598
426	3451	590
427	3459	581
428	3467	573
429	3474	565
430	3482	557
431	3490	549
432	3498	541
433	3506	533
434	3515	525
435	3522	517
436	3529	508
437	3537	500
438	3546	492
439	3553	484
440	3561	476
441	3568	468
442	3576	460
443	3584	452
444	3592	443
445	3599	435
446	3606	427
447	3615	419
448	3623	411
449	3631	403
450	3651	396
451	3659	388
452	3667	380
453	3675	372
454	3683	364
455	3690	356
456	3698	347
457	3706	339
458	3713	331
459	3720	323
460	3729	315
461	3736	307
462	3744	299
463	3752	291
464	3760	283
465	3768	274
466	3776	266
467	3784	258
468	3791	250
469	3799	242
470	3807	234
471	3814	226
472	3822	218
473	3830	210
474	3838	202
475	3846	193
476	3854	185
477	3862	177
478	3870	169
479	3878	161
480	3886	153
481	3894	145
482	3901	137
483	3908	129
484	3916	121
485	3923	113
486	3931	104
487	3939	96
488	3947	88
489	3954	80
490	3962	72
491	3969	64
492	3977	56
493	3984	48
494	3992	40
495	3999	32
496	4008	24
497	4016	16
498	4023	8
499	4044	0
