iter	PRAUC	Logloss
0	0.5377791938	0.5771094462
50	0.8589609682	0.003392031503
100	0.8762868084	0.002291546135
150	0.8927518309	0.001981561855
200	0.9061139218	0.001778273657
250	0.9181933509	0.001615372171
300	0.9289602651	0.001466791991
350	0.9381193979	0.001330886861
400	0.9455450149	0.001231126296
450	0.9517375063	0.001138884088
499	0.955235646	0.001083065275
